Date,Open,High,Low,Close,Volume,Adj Close
2013-08-12,83.93,84.029999,83.529999,83.809998,2868600,77.527691
2013-08-09,84.68,84.769997,84.18,84.339996,3753900,78.017961
2013-08-08,84.980003,85.089996,84.440002,84.68,2707900,78.332479
2013-08-07,84.93,84.989998,84.360001,84.760002,3832600,78.406484
2013-08-06,84.440002,85.43,84.120003,85.050003,3837800,78.674747
2013-08-05,84.339996,84.639999,83.769997,84.480003,3590200,78.147474
2013-08-02,84.00,84.339996,83.400002,84.290001,4442800,77.971713
2013-08-01,84.040001,84.400002,83.870003,84.199997,5790900,77.888456
2013-07-31,85.290001,85.660004,83.43,83.540001,8016500,77.277933
2013-07-30,85.57,85.989998,85.110001,85.110001,4354700,78.730247
2013-07-29,85.260002,85.599998,84.959999,85.25,3406300,78.859752
2013-07-26,84.849998,85.339996,84.360001,85.309998,4189800,78.915252
2013-07-25,85.639999,85.800003,85.279999,85.550003,5084900,79.137267
2013-07-24,86.699997,86.699997,85.639999,85.639999,5939800,79.220517
2013-07-23,86.370003,86.43,85.970001,86.199997,6321200,79.738538
2013-07-22,86.190002,86.940002,86.029999,86.400002,4780500,79.923551
2013-07-19,86.339996,86.839996,85.870003,86.410004,6146200,79.932803
2013-07-18,85.330002,87.059998,85.300003,86.800003,9202600,80.293569
2013-07-17,84.050003,85.510002,83.93,85.239998,7280100,78.8505
2013-07-16,83.93,84.300003,83.309998,84.019997,4480500,77.721948
2013-07-15,84.43,84.919998,84.330002,84.720001,4215000,78.369481
2013-07-12,84.050003,84.519997,83.839996,84.32,4349300,77.999464
2013-07-11,83.650002,84.629997,83.650002,84.550003,4746500,78.212226
2013-07-10,82.769997,83.419998,82.669998,82.989998,5654100,76.769157
2013-07-09,82.209999,82.870003,81.959999,82.769997,3834500,76.565647
2013-07-08,81.32,81.839996,81.07,81.779999,3749900,75.649858
2013-07-05,81.099998,81.279999,80.290001,80.800003,3343200,74.743322
2013-07-03,81.440002,81.440002,80.32,80.730003,3862500,74.678569
2013-07-02,81.940002,82.230003,81.32,81.68,5056000,75.557356
2013-07-01,81.959999,82.50,81.760002,82.040001,3804900,75.890371
2013-06-28,81.970001,82.269997,81.599998,81.790001,5996000,75.659111
2013-06-27,81.769997,82.540001,81.519997,81.739998,4464300,75.612856
2013-06-26,80.620003,81.57,80.620003,81.300003,4519100,75.205843
2013-06-25,80.419998,80.550003,79.669998,80.040001,5929200,74.040289
2013-06-24,78.68,80.75,78.199997,80.129997,6787400,74.123539
2013-06-21,79.559998,80.419998,79.220001,80.129997,9417000,74.123539
2013-06-20,80.480003,80.879997,78.769997,78.910004,7031200,72.994995
2013-06-19,82.260002,82.669998,80.889999,80.889999,5487200,74.826572
2013-06-18,82.370003,82.690002,82.00,82.57,3355200,76.380642
2013-06-17,82.589996,82.93,82.089996,82.550003,4655200,76.362144
2013-06-14,82.00,83.00,81.989998,82.129997,4034300,75.973621
2013-06-13,82.059998,82.239998,81.25,81.980003,5410700,75.834871
2013-06-12,82.809998,83.190002,82.040001,82.110001,4277900,75.955124
2013-06-11,82.379997,82.809998,81.82,82.529999,6505000,76.343639
2013-06-10,82.599998,83.059998,82.110001,82.849998,5036600,76.639652
2013-06-07,81.980003,82.510002,81.489998,82.510002,6448200,76.325141
2013-06-06,81.190002,81.660004,80.709999,81.660004,6031600,75.538858
2013-06-05,80.889999,81.529999,80.720001,81.199997,6998200,75.113333
2013-06-04,81.650002,82.059998,81.019997,81.629997,4543000,74.985677
2013-06-03,80.669998,81.489998,79.730003,81.400002,5758100,74.774402
2013-05-31,81.019997,81.610001,80.720001,80.769997,7813300,74.195677
2013-05-30,81.139999,81.489998,80.699997,81.220001,4959800,74.609053
2013-05-29,82.230003,82.230003,80.919998,81.120003,4346000,74.517194
2013-05-28,83.089996,83.480003,82.169998,82.43,4052500,75.720564
2013-05-24,81.809998,82.779999,81.550003,82.580002,3579600,75.858356
2013-05-23,82.300003,82.730003,81.510002,82.120003,4687000,75.435799
2013-05-22,82.589996,84.269997,82.580002,82.970001,5239900,76.216611
2013-05-21,82.629997,82.93,82.120003,82.629997,3982600,75.904282
